timestamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,day_before_purchase,total_min
6/23/2022 3:41,SNA-SMF-06/23/2022-06/26/2022,SNA,SMF,6/23/2022,6/26/2022,720,6/23/2022 10:17,309,1,6/26/2022 6:00,341,1,,
6/23/2022 3:42,SNA-SMF-06/30/2022-07/03/2022,SNA,SMF,6/30/2022,7/3/2022,630,6/30/2022 10:17,309,1,6/30/2022 10:17,309,1,,
6/23/2022 3:43,SNA-PHX-06/23/2022-06/26/2022,SNA,PHX,6/23/2022,6/26/2022,353,6/23/2022 12:56,78,0,6/26/2022 10:13,88,0,,
6/23/2022 3:43,SNA-PHX-06/30/2022-07/03/2022,SNA,PHX,6/30/2022,7/3/2022,299,6/30/2022 12:56,78,0,7/3/2022 14:59,78,0,,
6/23/2022 3:44,SNA-ORD-06/23/2022-06/26/2022,SNA,ORD,6/23/2022,6/26/2022,2939,6/23/2022 16:44,636,1,6/26/2022 8:25,251,0,,
6/23/2022 3:45,SNA-ORD-06/30/2022-07/03/2022,SNA,ORD,6/30/2022,7/3/2022,582,6/30/2022 16:44,330,1,6/30/2022 16:44,330,1,,
2022-06-23 04:40:11,SNA-PHX-06/23/2022-06/27/2022,SNA,PHX,06/23/2022,06/27/2022,353,06-23-2022 12:56:00,78,0,06-27-2022 10:13:00,88,0,,
2022-06-23 04:41:02,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,06/30/2022,07/04/2022,269,06-30-2022 12:56:00,78,0,07-04-2022 10:18:00,88,0,,
2022-06-23 04:41:52,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,07/07/2022,07/11/2022,239,07-07-2022 13:11:00,79,0,07-11-2022 10:18:00,88,0,,
2022-06-23 04:42:43,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,07/14/2022,07/18/2022,300,07-14-2022 13:11:00,79,0,07-18-2022 14:00:00,79,0,,
2022-06-23 04:43:34,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,07/21/2022,07/25/2022,300,07-21-2022 16:44:00,84,0,07-25-2022 10:18:00,88,0,,
2022-06-23 04:44:30,SNA-ORD-06/23/2022-06/27/2022,SNA,ORD,06/23/2022,06/27/2022,2939,06-23-2022 16:44:00,636,1,06-27-2022 09:55:00,251,0,,
2022-06-23 04:45:25,SNA-ORD-06/30/2022-07/04/2022,SNA,ORD,06/30/2022,07/04/2022,582,06-30-2022 16:44:00,330,1,07-04-2022 11:52:00,486,1,,
2022-06-23 04:46:42,SNA-ORD-07/07/2022-07/11/2022,SNA,ORD,07/07/2022,07/11/2022,634,07-07-2022 10:17:00,330,1,07-11-2022 05:00:00,420,1,,
2022-06-23 04:47:37,SNA-ORD-07/14/2022-07/18/2022,SNA,ORD,07/14/2022,07/18/2022,690,07-14-2022 12:36:00,253,0,07-18-2022 05:00:00,387,1,,
2022-06-23 04:48:32,SNA-ORD-07/21/2022-07/25/2022,SNA,ORD,07/21/2022,07/25/2022,771,07-21-2022 16:44:00,330,1,07-25-2022 05:00:00,387,1,,
2022-06-23 04:49:31,LAX-PHX-06/23/2022-06/27/2022,LAX,PHX,06/23/2022,06/27/2022,273,06-23-2022 16:14:00,90,0,06-27-2022 16:40:00,83,0,,
2022-06-23 04:50:25,LAX-PHX-06/30/2022-07/04/2022,LAX,PHX,06/30/2022,07/04/2022,223,06-30-2022 12:21:00,90,0,07-04-2022 11:00:00,84,0,,
2022-06-23 04:51:19,LAX-PHX-07/07/2022-07/11/2022,LAX,PHX,07/07/2022,07/11/2022,183,07-07-2022 12:21:00,90,0,07-11-2022 13:46:00,84,0,,
2022-06-23 04:52:12,LAX-PHX-07/14/2022-07/18/2022,LAX,PHX,07/14/2022,07/18/2022,228,07-14-2022 16:14:00,90,0,07-18-2022 11:00:00,84,0,,
2022-06-23 04:53:06,LAX-PHX-07/21/2022-07/25/2022,LAX,PHX,07/21/2022,07/25/2022,198,07-21-2022 16:14:00,90,0,07-25-2022 13:46:00,84,0,,
2022-06-23 04:54:01,LAX-ORD-06/23/2022-06/27/2022,LAX,ORD,06/23/2022,06/27/2022,714,06-23-2022 10:55:00,404,1,06-27-2022 13:19:00,253,0,,
2022-06-23 04:54:55,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,06/30/2022,07/04/2022,579,06-30-2022 08:05:00,242,0,07-04-2022 15:20:00,252,0,,
2022-06-23 04:55:50,LAX-ORD-07/07/2022-07/11/2022,LAX,ORD,07/07/2022,07/11/2022,494,07-07-2022 08:00:00,385,1,07-11-2022 07:19:00,262,0,,
2022-06-23 04:56:48,LAX-ORD-07/14/2022-07/18/2022,LAX,ORD,07/14/2022,07/18/2022,588,07-14-2022 16:35:00,248,0,07-18-2022 06:45:00,450,1,,
2022-06-23 04:57:41,LAX-ORD-07/21/2022-07/25/2022,LAX,ORD,07/21/2022,07/25/2022,622,07-21-2022 17:50:00,248,0,07-25-2022 07:19:00,262,0,,
2022-06-24 01:29:01,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,06/30/2022,07/04/2022,280,06-30-2022 12:56:00,78,0,07-04-2022 10:18:00,88,0,,
2022-06-24 01:29:57,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,06/30/2022,07/04/2022,707,06-30-2022 10:10:00,255,0,07-04-2022 15:20:00,252,0,,
2022-06-24 01:30:59,SFO-IAD-06/30/2022-07/04/2022,SFO,IAD,06/30/2022,07/04/2022,1069,06-30-2022 07:05:00,310,0,07-04-2022 07:00:00,553,1,,
2022-06-24 01:31:56,SJC-MSY-06/30/2022-07/04/2022,SJC,MSY,06/30/2022,07/04/2022,1394,06-30-2022 12:37:00,484,2,07-04-2022 06:00:00,420,1,,
2022-06-24 01:48:17,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,06/30/2022,07/04/2022,280,06-30-2022 12:56:00,78,0,07-04-2022 14:00:00,79,0,,
2022-06-24 01:49:09,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,07/07/2022,07/11/2022,301,07-07-2022 13:11:00,79,0,07-11-2022 14:00:00,79,0,,
2022-06-24 01:50:04,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,06/30/2022,07/04/2022,707,06-30-2022 10:10:00,255,0,07-04-2022 15:20:00,252,0,,
2022-06-24 01:51:01,LAX-ORD-07/07/2022-07/11/2022,LAX,ORD,07/07/2022,07/11/2022,528,07-07-2022 17:50:00,248,0,07-11-2022 07:19:00,262,0,,
2022-06-24 01:52:03,SFO-IAD-06/30/2022-07/04/2022,SFO,IAD,06/30/2022,07/04/2022,1069,06-30-2022 07:05:00,310,0,07-04-2022 07:00:00,553,1,,
2022-06-24 01:52:57,SFO-IAD-07/07/2022-07/11/2022,SFO,IAD,07/07/2022,07/11/2022,958,07-07-2022 07:00:00,310,0,07-11-2022 16:10:00,355,0,,
2022-06-24 01:53:56,SJC-MSY-06/30/2022-07/04/2022,SJC,MSY,06/30/2022,07/04/2022,1262,06-30-2022 09:13:00,593,2,07-04-2022 06:00:00,420,1,,
2022-06-24 01:54:56,SJC-MSY-07/07/2022-07/11/2022,SJC,MSY,07/07/2022,07/11/2022,784,07-07-2022 06:10:00,537,1,07-11-2022 07:25:00,625,2,,
6/25/2022,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,7/7/2022,7/11/2022,301,7/7/2022,78,0,7/11/2022,79,0,,
6/25/2022,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,6/30/2022,7/4/2022,628,6/30/2022,255,0,7/4/2022,252,0,,
6/25/2022,LAX-ORD-07/07/2022-07/11/2022,LAX,ORD,7/7/2022,7/11/2022,571,7/7/2022,242,0,7/11/2022,262,0,,
6/25/2022,SFO-IAD-06/30/2022-07/04/2022,SFO,IAD,6/30/2022,7/4/2022,971,6/30/2022,310,0,7/4/2022,553,1,,
6/25/2022,SFO-IAD-07/07/2022-07/11/2022,SFO,IAD,7/7/2022,7/11/2022,908,7/7/2022,471,1,7/11/2022,486,1,,
6/25/2022,SJC-MSY-06/30/2022-07/04/2022,SJC,MSY,6/30/2022,7/4/2022,1470,6/30/2022,484,2,7/4/2022,420,1,,
6/25/2022,SJC-MSY-07/07/2022-07/11/2022,SJC,MSY,7/7/2022,7/11/2022,910,7/7/2022,414,1,7/11/2022,625,2,,
2022-06-23 03:41:00,SNA-SMF-06/23/2022-06/26/2022,SNA,SMF,2022-06-23,6/26/2022,720,6/23/2022 10:17,309,1,6/26/2022 6:00,341,1,-1 days +20:19:00,0.0
2022-06-23 03:42:00,SNA-SMF-06/30/2022-07/03/2022,SNA,SMF,2022-06-30,7/3/2022,630,6/30/2022 10:17,309,1,6/30/2022 10:17,309,1,6 days 20:18:00,6.0
2022-06-23 03:43:00,SNA-PHX-06/23/2022-06/26/2022,SNA,PHX,2022-06-23,6/26/2022,353,6/23/2022 12:56,78,0,6/26/2022 10:13,88,0,-1 days +20:17:00,0.0
2022-06-23 03:43:00,SNA-PHX-06/30/2022-07/03/2022,SNA,PHX,2022-06-30,7/3/2022,299,6/30/2022 12:56,78,0,7/3/2022 14:59,78,0,6 days 20:17:00,6.0
2022-06-23 03:44:00,SNA-ORD-06/23/2022-06/26/2022,SNA,ORD,2022-06-23,6/26/2022,2939,6/23/2022 16:44,636,1,6/26/2022 8:25,251,0,-1 days +20:16:00,0.0
2022-06-23 03:45:00,SNA-ORD-06/30/2022-07/03/2022,SNA,ORD,2022-06-30,7/3/2022,582,6/30/2022 16:44,330,1,6/30/2022 16:44,330,1,6 days 20:15:00,6.0
2022-06-23 04:40:11,SNA-PHX-06/23/2022-06/27/2022,SNA,PHX,2022-06-23,06/27/2022,353,06-23-2022 12:56:00,78,0,06-27-2022 10:13:00,88,0,-1 days +19:19:49,0.0
2022-06-23 04:41:02,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,2022-06-30,07/04/2022,269,06-30-2022 12:56:00,78,0,07-04-2022 10:18:00,88,0,6 days 19:18:58,6.0
2022-06-23 04:41:52,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,2022-07-07,07/11/2022,239,07-07-2022 13:11:00,79,0,07-11-2022 10:18:00,88,0,13 days 19:18:08,13.0
2022-06-23 04:42:43,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,2022-07-14,07/18/2022,300,07-14-2022 13:11:00,79,0,07-18-2022 14:00:00,79,0,20 days 19:17:17,20.0
2022-06-23 04:43:34,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,2022-07-21,07/25/2022,300,07-21-2022 16:44:00,84,0,07-25-2022 10:18:00,88,0,27 days 19:16:26,27.0
2022-06-23 04:44:30,SNA-ORD-06/23/2022-06/27/2022,SNA,ORD,2022-06-23,06/27/2022,2939,06-23-2022 16:44:00,636,1,06-27-2022 09:55:00,251,0,-1 days +19:15:30,0.0
2022-06-23 04:45:25,SNA-ORD-06/30/2022-07/04/2022,SNA,ORD,2022-06-30,07/04/2022,582,06-30-2022 16:44:00,330,1,07-04-2022 11:52:00,486,1,6 days 19:14:35,6.0
2022-06-23 04:46:42,SNA-ORD-07/07/2022-07/11/2022,SNA,ORD,2022-07-07,07/11/2022,634,07-07-2022 10:17:00,330,1,07-11-2022 05:00:00,420,1,13 days 19:13:18,13.0
2022-06-23 04:47:37,SNA-ORD-07/14/2022-07/18/2022,SNA,ORD,2022-07-14,07/18/2022,690,07-14-2022 12:36:00,253,0,07-18-2022 05:00:00,387,1,20 days 19:12:23,20.0
2022-06-23 04:48:32,SNA-ORD-07/21/2022-07/25/2022,SNA,ORD,2022-07-21,07/25/2022,771,07-21-2022 16:44:00,330,1,07-25-2022 05:00:00,387,1,27 days 19:11:28,27.0
2022-06-23 04:49:31,LAX-PHX-06/23/2022-06/27/2022,LAX,PHX,2022-06-23,06/27/2022,273,06-23-2022 16:14:00,90,0,06-27-2022 16:40:00,83,0,-1 days +19:10:29,0.0
2022-06-23 04:50:25,LAX-PHX-06/30/2022-07/04/2022,LAX,PHX,2022-06-30,07/04/2022,223,06-30-2022 12:21:00,90,0,07-04-2022 11:00:00,84,0,6 days 19:09:35,6.0
2022-06-23 04:51:19,LAX-PHX-07/07/2022-07/11/2022,LAX,PHX,2022-07-07,07/11/2022,183,07-07-2022 12:21:00,90,0,07-11-2022 13:46:00,84,0,13 days 19:08:41,13.0
2022-06-23 04:52:12,LAX-PHX-07/14/2022-07/18/2022,LAX,PHX,2022-07-14,07/18/2022,228,07-14-2022 16:14:00,90,0,07-18-2022 11:00:00,84,0,20 days 19:07:48,20.0
2022-06-23 04:53:06,LAX-PHX-07/21/2022-07/25/2022,LAX,PHX,2022-07-21,07/25/2022,198,07-21-2022 16:14:00,90,0,07-25-2022 13:46:00,84,0,27 days 19:06:54,27.0
2022-06-23 04:54:01,LAX-ORD-06/23/2022-06/27/2022,LAX,ORD,2022-06-23,06/27/2022,714,06-23-2022 10:55:00,404,1,06-27-2022 13:19:00,253,0,-1 days +19:05:59,0.0
2022-06-23 04:54:55,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,2022-06-30,07/04/2022,579,06-30-2022 08:05:00,242,0,07-04-2022 15:20:00,252,0,6 days 19:05:05,6.0
2022-06-23 04:55:50,LAX-ORD-07/07/2022-07/11/2022,LAX,ORD,2022-07-07,07/11/2022,494,07-07-2022 08:00:00,385,1,07-11-2022 07:19:00,262,0,13 days 19:04:10,13.0
2022-06-23 04:56:48,LAX-ORD-07/14/2022-07/18/2022,LAX,ORD,2022-07-14,07/18/2022,588,07-14-2022 16:35:00,248,0,07-18-2022 06:45:00,450,1,20 days 19:03:12,20.0
2022-06-23 04:57:41,LAX-ORD-07/21/2022-07/25/2022,LAX,ORD,2022-07-21,07/25/2022,622,07-21-2022 17:50:00,248,0,07-25-2022 07:19:00,262,0,27 days 19:02:19,27.0
2022-06-24 01:29:01,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,2022-06-30,07/04/2022,280,06-30-2022 12:56:00,78,0,07-04-2022 10:18:00,88,0,5 days 22:30:59,5.0
2022-06-24 01:29:57,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,2022-06-30,07/04/2022,707,06-30-2022 10:10:00,255,0,07-04-2022 15:20:00,252,0,5 days 22:30:03,5.0
2022-06-24 01:30:59,SFO-IAD-06/30/2022-07/04/2022,SFO,IAD,2022-06-30,07/04/2022,1069,06-30-2022 07:05:00,310,0,07-04-2022 07:00:00,553,1,5 days 22:29:01,5.0
2022-06-24 01:31:56,SJC-MSY-06/30/2022-07/04/2022,SJC,MSY,2022-06-30,07/04/2022,1394,06-30-2022 12:37:00,484,2,07-04-2022 06:00:00,420,1,5 days 22:28:04,5.0
2022-06-24 01:48:17,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,2022-06-30,07/04/2022,280,06-30-2022 12:56:00,78,0,07-04-2022 14:00:00,79,0,5 days 22:11:43,5.0
2022-06-24 01:49:09,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,2022-07-07,07/11/2022,301,07-07-2022 13:11:00,79,0,07-11-2022 14:00:00,79,0,12 days 22:10:51,12.0
2022-06-24 01:50:04,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,2022-06-30,07/04/2022,707,06-30-2022 10:10:00,255,0,07-04-2022 15:20:00,252,0,5 days 22:09:56,5.0
2022-06-24 01:51:01,LAX-ORD-07/07/2022-07/11/2022,LAX,ORD,2022-07-07,07/11/2022,528,07-07-2022 17:50:00,248,0,07-11-2022 07:19:00,262,0,12 days 22:08:59,12.0
2022-06-24 01:52:03,SFO-IAD-06/30/2022-07/04/2022,SFO,IAD,2022-06-30,07/04/2022,1069,06-30-2022 07:05:00,310,0,07-04-2022 07:00:00,553,1,5 days 22:07:57,5.0
2022-06-24 01:52:57,SFO-IAD-07/07/2022-07/11/2022,SFO,IAD,2022-07-07,07/11/2022,958,07-07-2022 07:00:00,310,0,07-11-2022 16:10:00,355,0,12 days 22:07:03,12.0
2022-06-24 01:53:56,SJC-MSY-06/30/2022-07/04/2022,SJC,MSY,2022-06-30,07/04/2022,1262,06-30-2022 09:13:00,593,2,07-04-2022 06:00:00,420,1,5 days 22:06:04,5.0
2022-06-24 01:54:56,SJC-MSY-07/07/2022-07/11/2022,SJC,MSY,2022-07-07,07/11/2022,784,07-07-2022 06:10:00,537,1,07-11-2022 07:25:00,625,2,12 days 22:05:04,12.0
2022-06-25 00:00:00,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,2022-07-07,7/11/2022,301,7/7/2022,78,0,7/11/2022,79,0,12 days 00:00:00,12.0
2022-06-25 00:00:00,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,2022-06-30,7/4/2022,628,6/30/2022,255,0,7/4/2022,252,0,5 days 00:00:00,5.0
2022-06-25 00:00:00,LAX-ORD-07/07/2022-07/11/2022,LAX,ORD,2022-07-07,7/11/2022,571,7/7/2022,242,0,7/11/2022,262,0,12 days 00:00:00,12.0
2022-06-25 00:00:00,SFO-IAD-06/30/2022-07/04/2022,SFO,IAD,2022-06-30,7/4/2022,971,6/30/2022,310,0,7/4/2022,553,1,5 days 00:00:00,5.0
2022-06-25 00:00:00,SFO-IAD-07/07/2022-07/11/2022,SFO,IAD,2022-07-07,7/11/2022,908,7/7/2022,471,1,7/11/2022,486,1,12 days 00:00:00,12.0
2022-06-25 00:00:00,SJC-MSY-06/30/2022-07/04/2022,SJC,MSY,2022-06-30,7/4/2022,1470,6/30/2022,484,2,7/4/2022,420,1,5 days 00:00:00,5.0
2022-06-25 00:00:00,SJC-MSY-07/07/2022-07/11/2022,SJC,MSY,2022-07-07,7/11/2022,910,7/7/2022,414,1,7/11/2022,625,2,12 days 00:00:00,12.0
